Name,HP,Pattern,Notes,Powers,StartsWith,References,HpScalePlayerCountOnly
Axebot,70 - 78 (76 - 86),Cycles <Hammer Uppercut> → <One-Two>.,[info] Respawns with <Boot Up> via {stock}.,stock,{stock} 2,
Bowlbug (Egg),21 - 22 (23 - 24),Always uses <Bite>.,,,,
Bowlbug (Nectar),35 - 38 (36 - 39),"Opens with <Thrash> → <Buff>, then always uses <Thrash>.",,,,
Bowlbug (Rock),45 - 48 (46 - 49),Always uses <Headbutt>.,,imbalanced,{imbalanced},
Bowlbug (Silk),40 - 43 (41 - 44),Cycles <Toxic Spit> → <Thrash>.,,,,
Calcified Cultist,38 - 41 (39 - 42),"Opens with <Incantation>, then always uses <Dark Strike>.",,ritual,,
Chomper,60 - 64 (63 - 67),Cycles <Clamp> → <Screech>.,"[info] 1st starts <Clamp>, 2nd starts <Screech>.",artifact,{artifact} 2,
Corpse Slug,25 - 27 (27 - 29),Cycles <Whip Slap> → <Glomp> → <Gloop>.,"[info] 1st starts randomly, each subsequent starts at the next point in the cycle.",ravenous,{ravenous} 4 (5),
Cubex Construct,65 (70),"Opens with <Charge Up>.
Then cycles <Repeater Blast> → <Repeater Blast> → <Expel Blast>.",[bug] As of v0.99.1 <Submerge> is never used in the cycle.,artifact,{artifact} 1,
Damp Cultist,51 - 53 (52 - 54),"Opens with <Incantation>, then always uses <Dark Strike>.",,ritual,,
Devoted Sculptor,162 (172),"Opens with <Forbidden Incantation>, then always uses <Savage>.",,ritual,,
Exoskeleton,24 - 28 (25 - 29),"Cycles <Skitter> → <Mandible> → <Enrage>, with 50% chance to skip <Skitter>.","[info] 1st starts <Skitter>, 2nd starts <Mandible>, 3rd starts <Enrage>, 4th starts randomly.",hard_to_kill,{hard_to_kill} 9,
Fabricator,150 (155),"When allies ≤ 2: Chooses randomly from <Fabricate>, <Fabricating Strike>.
When allies ≥ 3: Always uses <Disintegrate>.",,,,
Guardbot,21 - 25 (22 - 26),Always uses <Guard>.,,minion,,
Noisebot,23 - 28 (24 - 29),Always uses <Noise>.,,minion,,
Stabbot,23 - 28 (24 - 29),Always uses <Stab>.,,minion,,
Zapbot,23 - 28 (24 - 29),Always uses <Zap>.,,high_voltage; minion,{high_voltage} 2,
Flyconid,47 - 49 (51 - 53),"Opens with <Frail Spores> or <Smash>.
Then chooses randomly from <Vulnerable Spores>, <Frail Spores>, <Smash>.",,,,
Fogmog,74 (78),"Opens with <Illusion> → <Swipe>.
After <Swipe> (1st in a row): 40% <Swipe>, 60% <Headbutt>.
After <Swipe> (2nd in a row): Always uses <Headbutt>.
After <Headbutt>: Always uses <Swipe>.",,,,
Eye with Teeth,6,Always uses <Distract>.,,illusion,{illusion},
Fossil Stalker,51 - 53 (54 - 56),"Opens with <Latch>.
Then chooses randomly from <Tackle>, <Latch>, <Lash>.",,,suck,{suck} 3,
Frog Knight,191 (199),"Phase 1:
Cycles <Tongue Lash> → <Strike Down Evil> → <For the Queen>.

Phase 2 (below 50% HP after using <For the Queen>):
Uses <Beetle Charge> once, then restarts Phase 1.",,plating,{plating} 15 (19),
Fuzzy Wurm Crawler,55 - 57 (58 - 59),"Opens with <Acid Goop>.
Then cycles <Inhale> → <Acid Goop> → <Acid Goop>.",,,,
Globe Head,148 (158),Cycles <Shocking Slap> → <Thunder Strike> → <Galvanic Burst>.,,galvanic,{galvanic} 6,
Gremlin Merc,47 - 49 (51 - 53),Cycles <Gimme> → <Double Smash> → <Hehe>.,[info] Stolen gold is held by Fat Gremlin once summoned.[info] Fight has normal gold reward if Fat Gremlin doesn't escape.,surprise; thievery,{surprise} and {thievery} 20,
Fat Gremlin,13 - 17 (14 - 18),"Opens with <Stunned>, then always uses <Flee>.",[info] If Fat Gremlin escapes you will not get the stolen gold or normal gold reward.,,,
Sneaky Gremlin,10 - 14 (11 - 15),"Opens with <Stunned>, then always uses <Tackle>.",,,,
Haunted Ship,63 (67),"Opens with <Haunt>.
Then chooses randomly from <Ramming Speed>, <Swipe>, <Stomp>.
Uses <Haunt> every other turn.",,haunt,,
Hunter Killer,121 (126),"Opens with <Tenderizing Goop>.
Then chooses randomly from <Bite>, <Puncture>.",,tender,,
Inklet,11 - 17 (12 - 18),"Cycles <Jab> → <Whirlwind> or <Piercing Gaze> (50/50).","[info] Front and back start with <Jab>. Middle starts with <Whirlwind>.",slippery,{slippery} 1,
Leaf Slime (Small),11 - 15 (12 - 16),"Opens with <Tackle> or <Goop>.
Then cycles <Tackle> → <Goop>.",,,,
Leaf Slime (Medium),32 - 35 (33 - 36),"Opens with <Sticky Shot>.
Then cycles <Clump Shot> → <Sticky Shot>.",,,,
Living Fog,80 (82),"Opens with <Advanced Gas>.
Then cycles <Bloat> → <Super Gas Blast>.",,smoggy,,
Gas Bomb,7 (8),Always uses <Explode>.,,minion,,
Living Shield,55 (65),"While Turret Operator alive: Always uses <Shield Slam>.
After Turret Operator dies: Always uses <Smash>.",,rampart,{rampart} 25,
